x_label;y_label;cl_x;cl_y;hl_x;hl_y;tube_id
101;6;30,469;4,222;42,281;4,222;TUBE.482
103;6;29,656;4,222;43,094;4,222;TUBE.483
105;6;28,844;4,222;43,906;4,222;TUBE.484
107;6;28,031;4,222;44,719;4,222;TUBE.485
109;6;27,219;4,222;45,531;4,222;TUBE.486
111;6;26,406;4,222;46,344;4,222;TUBE.487
113;6;25,594;4,222;47,156;4,222;TUBE.488
115;6;24,781;4,222;47,969;4,222;TUBE.489
117;6;23,969;4,222;48,781;4,222;TUBE.490
119;6;23,156;4,222;49,594;4,222;TUBE.491
121;6;22,344;4,222;50,406;4,222;TUBE.492
123;6;21,531;4,222;51,219;4,222;TUBE.493
125;6;20,719;4,222;52,031;4,222;TUBE.494
127;6;19,906;4,222;52,844;4,222;TUBE.495
129;6;19,094;4,222;53,656;4,222;TUBE.496
131;6;18,281;4,222;54,469;4,222;TUBE.497
133;6;17,469;4,222;55,281;4,222;TUBE.498
135;6;16,656;4,222;56,094;4,222;TUBE.499
137;6;15,844;4,222;56,906;4,222;TUBE.500
139;6;15,031;4,222;57,719;4,222;TUBE.501
141;6;14,219;4,222;58,531;4,222;TUBE.502
143;6;13,406;4,222;59,344;4,222;TUBE.503
145;6;12,594;4,222;60,156;4,222;TUBE.504
147;6;11,781;4,222;60,969;4,222;TUBE.505
149;6;10,969;4,222;61,781;4,222;TUBE.506
151;6;10,156;4,222;62,594;4,222;TUBE.507
153;6;9,344;4,222;63,406;4,222;TUBE.508
155;6;8,531;4,222;64,219;4,222;TUBE.509
157;6;7,719;4,222;65,031;4,222;TUBE.510
159;6;6,906;4,222;65,844;4,222;TUBE.511
